"Gene
Sex:F:CTB","Consensus-RNAseq:Low","Proteomics-DB:Low","HPA-Ab:","Mouse Infertility","Druggable"
"EFHC1","—","CTB","—","NA","—"
"ENKUR","F","—","—","NA","—"
"ESR1","F","—","—","CTB","Y"
"ESR2","CTB","—","—","CTB","Y"
"ETNK2","—","CTB","—","NA","Y"
"FAM122B","—","CTB","—","NA","—"
"FAM127B","—","F","—","—","—"
"FAM167B","F","—","—","—","—"
"FAM183A","F","—","—","—","—"
"FAM187A","CTB","—","—","—","—"
"FAM205A","—","CTB","—","—","—"
"FAM209A","—","CTB","—","NA","—"
"FAM209B","—","CTB","—","NA","—"
"FAM219B","—","F","—","—","—"
"FAM71A","—","CTB","—","—","—"
"FAM71F2","—","—","CTB","—","—"
"FAM81B","CTB","—","—","—","—"
"FAM92A1","—","CTB","—","—","—"
"FAM92B","F","—","—","—","—"
"FATE1","—","CTB","—","—","—"
"FBXO21","CTB","—","—","NA","—"
"FGF10","F","—","—","NA","Y"
"FIGLA","—","—","F","CTB","Y"
"FKBP4","F","—","—","CTB","Y"
"FKBP6","—","—","CTB","M","Y"
"FMR1NB","—","CTB","—","NA","—"
"FNDC8","—","CTB","—","—","—"
"FOXJ1","F","—","—","NA","—"
"FOXL2NB","F","—","—","—","Y"
"FOXRED2","—","CTB","—","NA","—"
"FSCN3","—","—","CTB","—","—"
"GAS2L2","F","—","—","NA","—"
"GBX1","—","—","CTB","NA","—"
"GDF9","—","—","CTB","F","Y"
"GLB1L","—","CTB","—","—","—"
"GLI2","F","—","—","NA","Y"
"GLI3","F","—","—","NA","—"
"GLIPR1L1","—","CTB","—","—","Y"
"GMNN","—","F","—","NA","Y"
"GREB1","F","—","—","NA","—"
"GSTO2","—","CTB","—","NA","Y"
"GTSF1L","—","CTB","—","—","—"
"H2AFB2","—","CTB","—","—","—"
"H3F3C","—","CTB","—","—","Y"
"HAND1","—","F","—","NA","Y"
"HBEGF","—","F","—","NA","Y"
"HDGFL1","—","CTB","—","NA","—"
"HERC5","—","CTB","—","—","Y"
"HEXDC","—","F","—","—","—"
"HIST1H2BA","—","CTB","—","—","—"
"HMGB4","—","CTB","—","NA","—"
"HOXA11","F","—","—","CTB","Y"
"HOXA13","F","—","—","CTB","—"
"HOXD11","F","—","—","M","—"
"HS6ST2","—","CTB","—","NA","—"
"HSD17B3","—","CTB","—","—","Y"
"HSF2BP","—","CTB","—","NA","—"
"HSF5","—","CTB","—","—","—"
"HSP90AA1","F","—","—","M","Y"
"HSPA1A","F","—","—","NA","Y"
"HSPA1B","F","—","—","NA","Y"
"HSPA1L","CTB","—","—","—","—"
"HSPH1","F","—","—","NA","Y"
"IFT46","F","—","—","NA","—"
"IGSF10","F","—","—","—","—"
"IL19","F","—","—","NA","Y"
"IL1RAPL2","—","F","—","—","Y"
"INSIG1","—","F","—","NA","—"
"INSL3","—","CTB","—","CTB","Y"
"IQCB1","—","CTB","—","NA","—"
"IQCG","F","—","—","M","—"
"ISLR","F","—","—","NA","—"
"JAKMIP2","—","F","—","—","—"
"JSRP1","—","F","—","NA","Y"
"KCNG1","F","—","—","—","Y"
"KCNK17","—","F","—","—","Y"
"KCNRG","F","—","—","—","Y"
"KLHDC8A","F","—","—","—","—"
"KLHL1","—","F","—","NA","Y"
"KRT74","—","F","—","—","—"
"LCN9","—","CTB","—","—","Y"
"LDHAL6B","—","CTB","—","—","—"
"LEFTY2","F","—","—","NA","Y"
"LIN28A","—","CTB","—","NA","—"
"LMO3","—","F","—","NA","—"
"LPAR3","F","—","—","NA","Y"
"LRRC17","F","—","—","—","Y"
"LRRC23","F","—","—","NA","—"
"LRRC37B","—","CTB","—","—","—"
"LRRC42","—","CTB","—","—","—"
"LRRC43","F","—","—","—","—"
"LRRC46","CTB","—","—","—","—"
"LRTOMT","CTB","—","—","NA","Y"
"LTBP2","—","—","F","NA","Y"
"LUZP4","—","CTB","—","—","—"
"LYPD1","F","—","—","NA","—"
"LYPD4","—","CTB","—","—","—"
"LYZL4","—","CTB","—","NA","Y"
"MAEL","—","CTB","—","M","—"
"MAGEA9","—","CTB","—","—","—"
"MAGEB1","—","CTB","—","—","—"
"MAP3K11","F","—","—","NA","Y"
"MARCH10","—","—","CTB","—","—"
"MBD3L1","—","—","CTB","NA","—"
"MFAP4","—","—","F","NA","Y"
"MICB","F","—","—","—","Y"
"MMP10","F","—","—","NA","Y"
"MMP26","F","—","—","—","Y"
"MMP28","—","CTB","—","NA","Y"
"MORN5","CTB","—","—","—","—"
"MOSPD3","—","CTB","—","NA","—"
"MUC16","F","—","—","NA","Y"
"MUM1L1","F","—","—","—","—"
"NAA11","—","CTB","—","—","—"
"NHLRC4","CTB","—","—","—","—"
"NLRP14","—","—","CTB","—","—"
"NME5","—","CTB","—","NA","Y"
"NME9","F","—","—","—","Y"
"NOBOX","—","F","—","F","—"
"NXF3","—","CTB","—","—","—"
"OBP2A","CTB","—","—","—","Y"
"OBSL1","F","—","—","—","Y"
"ODF1","—","CTB","—","M","—"
"ODF3","—","CTB","—","—","—"
"OFD1","—","F","—","NA","Y"
"OIP5","—","CTB","—","—","—"
"OOEP","—","—","F","F","—"
"OSCP1","CTB","—","—","NA","—"
"OSR2","F","—","—","NA","—"
"OTUB2","—","CTB","—","—","Y"
"PABPC5","—","F","—","—","—"
"PADI6","—","F","—","F","Y"
"PAGE1","—","F","—","—","—"
"PAGE5","—","F","—","—","—"
"PAX2","—","—","CTB","NA","Y"
"PCDH11X","F","—","—","—","—"
"PCDHB5","—","F","—","—","—"
"PCDHGA11","—","F","—","—","—"
"PCDP1","—","CTB","—","—","—"
"PDCL2","—","CTB","—","—","—"
"PDHA2","—","CTB","—","NA","—"
"PEG3","F","—","—","NA","—"
"PGK2","—","—","CTB","M","Y"
"PGR","F","—","—","F","Y"
"PIGV","—","F","—","NA","—"
"PIH1D3","F","—","—","M","—"
"PIWIL1","—","CTB","—","M","—"
"PLD6","—","CTB","—","M","Y"
"POU5F1","—","F","—","F","—"
"PPP1R2P9","—","CTB","—","—","Y"
"PRM2","—","CTB","—","NA","—"
"PRND","—","CTB","—","—","Y"
"PROK1","CTB","—","—","—","Y"
"PRPS2","CTB","—","—","NA","Y"
"PRR29","F","—","—","—","Y"
"PRSS21","—","CTB","—","NA","Y"
"PRSS37","—","CTB","—","M","Y"
"PRSS50","—","CTB","—","NA","Y"
"PRSS58","—","CTB","—","—","Y"
"PSMA8","—","CTB","—","M","Y"
"PTGES3","F","—","—","NA","Y"
"PTTG2","—","F","—","NA","Y"
"RAP2C","F","—","—","—","Y"
"RBM44","—","CTB","—","NA","—"
"RBM46","—","CTB","—","—","—"
"REM1","F","—","—","—","Y"
"RFX4","—","CTB","—","NA","—"
"RIMS4","—","F","—","NA","—"
"RMND5B","—","CTB","—","NA","—"
"RNF122","F","—","—","—","—"
"RNF150","—","F","—","—","—"
"RNFT2","—","F","—","NA","—"
"ROPN1","—","CTB","—","NA","—"
"ROPN1B","—","CTB","—","NA","—"
"ROPN1L","—","CTB","—","NA","—"
"RSPH6A","—","CTB","—","M","—"
"RSPH9","—","CTB","—","NA","—"
"RSPO1","F","—","—","F","Y"
"SALL4","—","—","CTB","NA","Y"
"SAXO2","F","—","—","—","—"
"SCGB1D2","F","—","—","—","Y"
"SCGB1D4","CTB","—","—","—","Y"
"SCGB2A1","CTB","—","—","—","Y"
"SEPT12","—","CTB","—","—","Y"
"SERPINH1","F","—","—","NA","Y"
"SERTM2","CTB","—","—","—","—"
"SFRP4","—","—","CTB","NA","Y"
"SHCBP1L","—","CTB","—","NA","—"
"SIGLEC11","F","—","—","NA","Y"
"SKA2","—","F","—","NA","—"
"SLC15A2","CTB","—","—","NA","Y"
"SLC25A31","—","CTB","—","M","Y"
"SLC26A10","—","F","—","NA","Y"
"SLC2A14","—","CTB","—","NA","Y"
"SMRP1","—","CTB","—","—","—"
"SNCAIP","F","—","—","—","—"
"SNTN","F","—","—","—","—"
"SOX3","CTB","—","—","M","—"
"SPA17","—","CTB","—","—","Y"
"SPACA1","—","CTB","—","M","—"
"SPACA4","—","CTB","—","—","—"
"SPACA5","—","CTB","—","—","Y"
"SPACA9","CTB","—","—","—","—"
"SPANXB1","—","CTB","—","—","—"
"SPATA18","CTB","—","—","—","—"
"SPATA19","—","CTB","—","—","—"
"SPATA22","—","CTB","—","CTB","Y"
"SPATS1","—","—","CTB","NA","—"
"SPDYA","—","—","CTB","CTB","Y"
"SPINLW1","—","CTB","—","—","—"
"SQLE","—","F","—","NA","Y"
"SSX2","—","CTB","—","—","—"
"SSX3","—","CTB","—","—","—"
"STIP1","F","—","—","NA","—"
"STMND1","F","—","—","—","—"
"STOML3","F","—","—","NA","—"
"STRA8","—","F","—","NA","—"
"STX18","F","—","—","NA","—"
"SUV39H2","—","CTB","—","NA","Y"
"SYCE2","—","CTB","—","CTB","—"
"SYCP3","—","CTB","—","—","—"
"SYNGR4","—","CTB","—","NA","—"
"TAF7L","—","CTB","—","NA","Y"
"TBC1D21","—","CTB","—","—","—"
"TCF23","F","—","—","—","—"
"TCTE1","CTB","—","—","M","—"
"TCTEX1D2","—","CTB","—","M","—"
"TDRD1","—","—","CTB","M","—"
"TDRD10","—","CTB","—","—","—"
"TEKT1","F","—","—","—","—"
"TEX101","—","CTB","—","M","Y"
"TEX33","—","CTB","—","—","—"
"THEGL","F","—","—","NA","—"
"TKTL1","—","F","—","NA","—"
"TKTL2","—","CTB","—","—","—"
"TMEM200A","F","—","—","—","—"
"TMEM231","F","—","—","NA","—"
"TMEM260","F","—","—","NA","—"
"TMEM89","—","CTB","—","—","—"
"TOX3","—","F","—","NA","—"
"TPPP3","F","—","—","—","—"
"TRAF5","—","F","—","NA","—"
"TRIM60","—","—","CTB","—","Y"
"TSKS","—","CTB","—","M","—"
"TSPAN5","—","F","—","—","—"
"TSPYL6","—","CTB","—","—","—"
"TTC16","CTB","—","—","—","—"
"TTC25","CTB","—","—","NA","—"
"TTC28","F","—","—","NA","Y"
"TTLL10","CTB","—","—","NA","—"
"TUBA1B","—","F","—","—","Y"
"TUBA4B","F","—","—","—","Y"
"TUBG2","—","F","—","NA","Y"
"TULP3","—","F","—","NA","Y"
"UBXN10","CTB","—","—","NA","—"
"VCY","—","CTB","—","—","—"
"VWA3B","CTB","—","—","—","Y"
"WBP2NL","—","CTB","—","NA","—"
"WDR34","—","CTB","—","—","—"
"WDR38","F","—","—","—","—"
"WDR54","F","—","—","—","—"
"WDR62","—","CTB","—","M","—"
"WDR77","F","—","—","NA","—"
"ZBTB46","—","F","—","NA","—"
"ZDHHC11","—","F","—","NA","—"
"ZDHHC4","—","F","—","NA","—"
"ZMYND10","CTB","—","—","NA","—"
"ZMYND12","—","CTB","—","—","—"
"ZNF182","—","F","—","NA","—"
"ZNF192","—","F","—","—","—"
"ZNF280C","—","CTB","—","—","—"
"ZNRD1","—","F","—","—","—"
"ZP4","—","—","F","—","Y"
"ZPBP2","—","CTB","—","NA","—"
"ZSCAN5D","—","F","—","—","—"
